FOD1P,total,men,women,total median,women median,men median,Major,Major_Category
1100.0,12132,7197,4935,36443,37159,35833,GENERAL AGRICULTURE,Agriculture & Natural Resources
1101.0,13372,8483,4889,35000,30000,40000,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
1102.0,2208,1675,533,48167,34793,50000,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
1103.0,24388,5936,18452,33109,34041,28691,ANIMAL SCIENCES,Agriculture & Natural Resources
1104.0,4644,1414,3230,43773,46624,37060,FOOD SCIENCE,Agriculture & Natural Resources
1105.0,8622,4460,4162,30000,25000,36875,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
1106.0,716,629,87,49514,-1,49514,SOIL SCIENCE,Agriculture & Natural Resources
1199.0,1126,238,888,32367,32002,44165,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
1301.0,38330,16706,21624,33008,30000,36000,ENVIRONMENTAL SCIENCE,Biology & Life Science
1302.0,3972,3199,773,35558,36207,35169,FORESTRY,Agriculture & Natural Resources
1303.0,18207,9791,8416,30000,30569,30000,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources
1401.0,57805,34296,23509,40000,40000,42000,ARCHITECTURE,Engineering
1501.0,35069,9895,25174,38727,35274,41738,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts
1901.0,223287,74033,149254,38500,38889,38000,COMMUNICATIONS,Communications & Journalism
1902.0,70967,24869,46098,35000,35000,37262,JOURNALISM,Communications & Journalism
1903.0,60989,28342,32647,35000,35000,33453,MASS MEDIA,Communications & Journalism
1904.0,51586,14196,37390,40000,38000,44552,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
2001.0,22464,13351,9113,31156,31505,30351,COMMUNICATION TECHNOLOGIES,Computers & Mathematics
2100.0,47795,32883,14912,48127,49015,48004,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
2101.0,5071,4197,874,49523,50831,49080,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics
2102.0,140871,109336,31535,58000,49236,58000,COMPUTER SCIENCE,Computers & Mathematics
2105.0,15961,12047,3914,50000,48636,50000,INFORMATION SCIENCES,Computers & Mathematics
2106.0,10798,7920,2878,41345,37955,41971,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics
2107.0,8484,6348,2136,40000,32955,41907,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics
2201.0,14540,6348,8192,30558,30000,34655,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services
2300.0,155290,35448,119842,35000,36000,35000,GENERAL EDUCATION,Education
2301.0,892,274,618,32028,30800,24591,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education
2303.0,1668,0,1668,45684,45684,-1,SCHOOL STUDENT COUNSELING,Education
2304.0,149172,13268,135904,35000,34992,36000,ELEMENTARY EDUCATION,Education
2305.0,13036,3847,9189,35000,34457,35000,MATHEMATICS TEACHER EDUCATION,Education
2306.0,26017,14346,11671,35000,34916,35112,PHYSICAL AND HEALTH EDUCATION TEACHING,Education
2307.0,39307,1129,38178,31000,30544,40602,EARLY CHILDHOOD EDUCATION,Education
2308.0,7534,2158,5376,36000,36000,38198,SCIENCE AND COMPUTER TEACHER EDUCATION,Education
2309.0,16561,5328,11233,37000,36232,37503,SECONDARY TEACHER EDUCATION,Education
2310.0,30405,2922,27483,35000,35000,33536,SPECIAL NEEDS EDUCATION,Education
2311.0,17327,8303,9024,32000,30024,33000,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education
2312.0,12726,1942,10784,35000,35000,34956,TEACHER EDUCATION: MULTIPLE LEVELS,Education
2313.0,31268,4505,26763,36000,35726,40000,LANGUAGE AND DRAMA EDUCATION,Education
2314.0,39654,11889,27765,35786,36000,34234,ART AND MUSIC EDUCATION,Education
2399.0,10835,4238,6597,38000,38901,35979,MISCELLANEOUS EDUCATION,Education
2400.0,69972,55435,14537,60000,65000,56000,GENERAL ENGINEERING,Engineering
2401.0,16590,14113,2477,60000,67012,60000,AEROSPACE ENGINEERING,Engineering
2402.0,9068,6751,2317,49146,40977,50057,BIOLOGICAL ENGINEERING,Engineering
2403.0,1669,1136,533,59323,63239,46000,ARCHITECTURAL ENGINEERING,Engineering
2404.0,17641,10625,7016,50000,40841,51000,BIOMEDICAL ENGINEERING,Engineering
2405.0,39487,26240,13247,64000,64325,64000,CHEMICAL ENGINEERING,Engineering
2406.0,54233,41165,13068,53000,50000,55000,CIVIL ENGINEERING,Engineering
2407.0,50480,39760,10720,62000,59565,63000,COMPUTER ENGINEERING,Engineering
2408.0,88133,69653,18480,62000,65000,61122,ELECTRICAL ENGINEERING,Engineering
2409.0,4301,3494,807,36725,65075,32911,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering
2410.0,6722,4145,2577,35000,42817,34100,ENVIRONMENTAL ENGINEERING,Engineering
2411.0,1095,920,175,88240,45000,90246,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering
2412.0,19709,15032,4677,65000,45124,65000,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering
2413.0,6363,4633,1730,50000,50000,54284,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering
2414.0,107293,95620,11673,60000,60620,60000,MECHANICAL ENGINEERING,Engineering
2416.0,992,992,0,44415,-1,44415,MINING AND MINERAL ENGINEERING,Engineering
2417.0,1624,1489,135,67413,72000,58682,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering
2418.0,1226,783,443,59039,-1,59039,NUCLEAR ENGINEERING,Engineering
2419.0,4484,3697,787,66029,63258,66205,PETROLEUM ENGINEERING,Engineering
2499.0,13073,9895,3178,55000,57232,55000,MISCELLANEOUS ENGINEERING,Engineering
2500.0,4461,3257,1204,48000,37456,50814,ENGINEERING TECHNOLOGIES,Engineering
2501.0,2328,1099,1229,46781,40194,68682,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering
2502.0,10041,7099,2942,65000,66354,64939,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering
2503.0,4353,4286,67,35000,32000,35000,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering
2504.0,5049,4332,717,41255,55000,40000,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering
2599.0,12881,10376,2505,45000,33027,45148,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering
2601.0,17792,4768,13024,37000,37000,44617,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts
2602.0,47768,12395,35373,33000,34000,30000,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts
2603.0,13145,5130,8015,40218,30000,57260,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts
2901.0,68665,5414,63251,30000,30000,29211,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services
3201.0,1401,508,893,11247,0,20000,COURT REPORTING,Law & Public Policy
3202.0,12896,4533,8363,30000,30000,30175,PRE-LAW AND LEGAL STUDIES,Law & Public Policy
3301.0,207395,62518,144877,35000,35793,31378,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts
3302.0,22809,7211,15598,28401,28185,27227,COMPOSITION AND RHETORIC,Humanities & Liberal Arts
3401.0,76389,31799,44590,33000,33000,33000,LIBERAL ARTS,Humanities & Liberal Arts
3402.0,6414,1892,4522,35555,21603,46333,HUMANITIES,Humanities & Liberal Arts
3501.0,2158,143,2015,27797,27797,-1,LIBRARY SCIENCE,Education
3600.0,318077,121270,196807,33000,31000,35000,BIOLOGY,Biology & Life Science
3601.0,50453,24626,25827,38090,31951,40000,BIOCHEMICAL SCIENCES,Biology & Life Science
3602.0,789,343,446,28262,25000,37182,BOTANY,Biology & Life Science
3603.0,18066,8526,9540,38282,43650,37520,MOLECULAR BIOLOGY,Biology & Life Science
3604.0,11782,5200,6582,29555,30000,25897,ECOLOGY,Biology & Life Science
3605.0,3793,1297,2496,39295,41834,36682,GENETICS,Biology & Life Science
3606.0,15612,6890,8722,34720,39534,30000,MICROBIOLOGY,Biology & Life Science
3607.0,1669,929,740,127768,127768,-1,PHARMACOLOGY,Biology & Life Science
3608.0,25598,8247,17351,34429,34226,35117,PHYSIOLOGY,Biology & Life Science
3609.0,8706,1597,7109,32741,33256,33033,ZOOLOGY,Biology & Life Science
3611.0,16259,7401,8858,40344,41109,40570,NEUROSCIENCE,Biology & Life Science
3699.0,18101,6518,11583,42000,42281,38000,MISCELLANEOUS BIOLOGY,Biology & Life Science
3700.0,74513,41724,32789,45000,42723,45000,MATHEMATICS,Computers & Mathematics
3701.0,6859,4325,2534,43794,44708,42534,APPLIED MATHEMATICS,Computers & Mathematics
3702.0,8383,3917,4466,41210,41759,37964,STATISTICS AND DECISION SCIENCE,Computers & Mathematics
3801.0,412,55,357,20000,20000,-1,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services
4000.0,14857,3442,11415,29614,30000,27542,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary
4001.0,30245,9744,20501,35000,31609,35000,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts
4002.0,21203,3097,18106,41278,40576,45910,NUTRITION SCIENCES,Health
4005.0,973,973,0,116652,-1,116652,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics
4006.0,5461,3188,2273,30000,40700,27870,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science
4007.0,13353,1763,11590,26000,26000,29314,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science
4101.0,163598,84279,79319,31000,31069,30000,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services
4801.0,49459,30418,19041,36000,38822,34406,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts
4901.0,33483,23010,10473,28000,26000,28940,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts
5000.0,1549,797,752,38653,37000,50000,PHYSICAL SCIENCES,Physical Sciences
5001.0,1321,716,605,47423,42367,65980,ASTRONOMY AND ASTROPHYSICS,Physical Sciences
5002.0,3776,2992,784,29027,42191,28110,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences
5003.0,67015,30471,36544,38000,38000,37563,CHEMISTRY,Physical Sciences
5004.0,22730,14487,8243,30051,34864,30000,GEOLOGY AND EARTH SCIENCE,Physical Sciences
5005.0,2455,943,1512,40000,44346,21892,GEOSCIENCES,Physical Sciences
5006.0,2933,1085,1848,33150,47365,23873,OCEANOGRAPHY,Physical Sciences
5007.0,29066,22778,6288,40000,33073,46710,PHYSICS,Physical Sciences
5008.0,5442,3750,1692,47075,51573,49636,MATERIALS SCIENCE,Engineering
5098.0,67794,26836,40958,37541,37303,38801,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences
5102.0,1904,468,1436,59027,60000,55600,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences
5200.0,430019,103868,326151,31000,30000,33224,PSYCHOLOGY,Psychology & Social Work
5201.0,2082,187,1895,34735,38169,15000,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work
5202.0,3189,727,2462,30498,30768,35660,CLINICAL PSYCHOLOGY,Psychology & Social Work
5203.0,7390,961,6429,32000,32000,44794,COUNSELING PSYCHOLOGY,Psychology & Social Work
5205.0,2306,742,1564,31124,33821,25394,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work
5206.0,2023,645,1378,37381,42897,35696,SOCIAL PSYCHOLOGY,Psychology & Social Work
5299.0,10329,2676,7653,33000,32000,35858,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work
5301.0,178642,100807,77835,34000,32000,35000,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy
5401.0,6490,1825,4665,37055,39133,37000,PUBLIC ADMINISTRATION,Law & Public Policy
5402.0,7374,2677,4697,37000,40924,35000,PUBLIC POLICY,Law & Public Policy
5403.0,11765,2294,9471,28000,28000,29145,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work
5404.0,60845,7031,53814,32000,32000,35195,SOCIAL WORK,Psychology & Social Work
5500.0,10169,4207,5962,30000,31022,23524,GENERAL SOCIAL SCIENCES,Social Science
5501.0,151084,100253,50831,50000,47280,50000,ECONOMICS,Social Science
5502.0,43905,13298,30607,33815,36000,28920,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts
5503.0,24429,12342,12087,31864,30717,34455,CRIMINOLOGY,Social Science
5504.0,15759,11831,3928,42018,48026,42091,GEOGRAPHY,Social Science
5505.0,38852,12182,26670,45000,40000,52216,INTERNATIONAL RELATIONS,Social Science
5506.0,189316,101326,87990,40000,37793,43000,POLITICAL SCIENCE AND GOVERNMENT,Social Science
5507.0,107938,31154,76784,35000,34000,36170,SOCIOLOGY,Social Science
5599.0,4160,1953,2207,45000,45629,42142,MISCELLANEOUS SOCIAL SCIENCES,Social Science
5601.0,18382,16310,2072,50075,31258,52661,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services
5701.0,1996,1788,208,32494,18307,35897,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services
5901.0,13684,11387,2297,34000,41502,33492,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services
6000.0,79838,27945,51893,30000,30000,35000,FINE ARTS,Arts
6001.0,48602,17026,31576,28000,26199,31084,DRAMA AND THEATER ARTS,Arts
6002.0,78986,45023,33963,32148,30000,34000,MUSIC,Arts
6003.0,15298,3640,11658,31000,31000,27807,VISUAL AND PERFORMING ARTS,Arts
6004.0,113571,34490,79081,35000,35000,40000,COMMERCIAL ART AND GRAPHIC DESIGN,Arts
6005.0,48455,27743,20712,32000,30000,32662,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts
6006.0,18598,2875,15723,31386,32035,31174,ART HISTORY AND CRITICISM,Humanities & Liberal Arts
6007.0,17236,3792,13444,27028,26000,29244,STUDIO ARTS,Arts
6099.0,4160,1989,2171,31189,33633,31209,MISCELLANEOUS FINE ARTS,Arts
6100.0,50263,11201,39062,35000,35000,35348,GENERAL MEDICAL AND HEALTH SERVICES,Health
6102.0,45154,2303,42851,38509,38380,64178,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health
6103.0,24013,5274,18739,37964,37939,39000,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health
6104.0,12722,1868,10854,35726,35713,49115,MEDICAL ASSISTING SERVICES,Health
6105.0,19928,5251,14677,44000,40000,50000,MEDICAL TECHNOLOGIES TECHNICIANS,Health
6106.0,15168,6209,8959,42954,42000,48486,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health
6107.0,248979,27970,221009,50000,50000,50000,NURSING,Health
6108.0,26895,11563,15332,55831,52000,57936,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health
6109.0,55494,14707,40787,35000,35000,39784,TREATMENT THERAPY PROFESSIONS,Health
6110.0,26683,5391,21292,40000,40000,44188,COMMUNITY AND PUBLIC HEALTH,Health
6199.0,12899,883,12016,34355,33436,35613,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health
6200.0,263174,155956,107218,40000,40000,40983,GENERAL BUSINESS,Business
6201.0,214372,106224,108148,47000,45000,48000,ACCOUNTING,Business
6202.0,3801,2419,1382,74389,63699,75000,ACTUARIAL SCIENCE,Business
6203.0,323759,162811,160948,40000,38811,41000,BUSINESS MANAGEMENT AND ADMINISTRATION,Business
6204.0,13935,8213,5722,50000,50000,52425,OPERATIONS LOGISTICS AND E-COMMERCE,Business
6205.0,16416,9844,6572,42532,40000,50839,BUSINESS ECONOMICS,Business
6206.0,202977,75784,127193,40000,40000,40000,MARKETING AND MARKETING RESEARCH,Business
6207.0,179269,119245,60024,50000,45869,50000,FINANCE,Business
6209.0,22236,5047,17189,35000,35000,33988,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business
6210.0,26602,10289,16313,42453,40000,51533,INTERNATIONAL BUSINESS,Business
6211.0,46085,15021,31064,33070,31247,35000,HOSPITALITY MANAGEMENT,Business
6212.0,21429,13875,7554,54000,53795,54804,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business
6299.0,21884,10588,11296,35000,30000,40000,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business
6402.0,155307,90669,64638,36000,35990,36000,HISTORY,Humanities & Liberal Arts
6403.0,1357,834,523,34492,36836,33441,UNITED STATES HISTORY,Humanities & Liberal Arts
